id,term,originalHeadword,type,sourceGroup,meaning,partOfSpeech,pattern,example,collocation,commonMistake,synonymOrContrast,register,pronunciation,category,level,senseId
v0001,abandon,,academic/professional word,AWL-derived core,"to leave forever, or to stop something in progress",verb,abandon + noun,"Although the group had already invested considerable time in the prototype, the team abandoned the original design after repeated safety failures.",abandon a plan; abandon an attempt,Do not use abandon as a noun without changing its form; also check the required preposition or object.,"abandon means to leave forever, or to stop something in progress. By contrast, cease means to stop happening or stop doing something.",professional and academic; often useful in careful speech and writing,"IPA (stress shown separately): /əbændən/ Stress syllable 2 of 3. For /b/, close both lips completely. Keep the final /n/ audible.",general academic and professional,B2,v0001-s1
v0002,abstract,,academic/professional word,AWL-derived core,a short written summary of a research article or study,noun,an abstract of + article/study,"Because readers needed a concise overview before reading the full article, the abstract summarizes the study’s purpose, method, and main findings.",write an abstract; research abstract,Check whether abstract is countable in this meaning before adding “a” or a plural ending.,"abstract means a short written summary of a research article or study. By contrast, concept means an abstract or general idea.",professional and academic; often useful in careful speech and writing,"IPA (stress shown separately): /æbstrækt/ Stress syllable 1 of 2. For /b/, close both lips completely. Keep the final /t/ audible.",general academic and professional,C1,v0002-s1
v0003,academic,,academic/professional word,AWL-derived core,"relating to school, college, study or theory",adjective,academic + noun; be academic,"Because students needed to succeed in formal assignments as well as everyday discussions, the course teaches academic writing alongside natural spoken English.",academic research; academic achievement,Use academic before a noun or after a linking verb; do not use it as an adverb without the correct form.,"academic means relating to school, college, study or theory. By contrast, evidence-based means supported by reliable research or data.",academic and professional; also useful in formal explanations,"IPA (stress shown separately): /ækədɛmɪk/ Stress syllable 3 of 4. Keep /ɪ/ short and relaxed, as in sit. Keep the final /k/ audible.",evidence,C1,v0003-s1
v0004,access,,academic/professional word,AWL-derived core,the ability to get to or enter somewhere or something,noun,access to + noun,"Since students needed to submit work through the learning platform, reliable internet access is essential for students completing online assignments.",access to information; gain access,Check whether access is countable in this meaning before adding “a” or a plural ending.,"access means the ability to get to or enter somewhere or something. By contrast, accommodation means an adjustment that gives a person fair access or support.",professional and academic; often useful in careful speech and writing,IPA (stress shown separately): /æksɛs/ Stress syllable 1 of 2. Keep the final /s/ audible.,general academic and professional,C1,v0004-s1
v0005,accommodation,,academic/professional word,AWL-derived core,an adjustment that gives a person fair access or support,noun,accommodation for + person/need,"When the disability-services office reviewed the approved support plan, the university provided a testing accommodation for the student.",reasonable accommodation; provide accommodation,Check whether accommodation is countable in this meaning before adding “a” or a plural ending.,"accommodation means an adjustment that gives a person fair access or support. By contrast, access means the ability to get to or enter somewhere or something.",professional and academic; often useful in careful speech and writing,IPA (stress shown separately): /əkɑmədeɪʃən/ Stress syllable 4 of 5. Use a clear /ʃ/ “sh” sound. Keep the final /n/ audible.,general academic and professional,B2,v0005-s1
v0006,accompany,accompanied,academic/professional word,AWL-derived core,to go with someone or to be provided together with something,verb,accompany + noun; be accompany by + noun,"Although the complete report contained several detailed sections, the report was accompanied by a one-page executive summary.",be accompany by; accompany the group,This is an inflected verb form. Do not put “to” directly before it; use the base form after “to.”,"accompany means to go with someone or to be provided together with something. By contrast, remove means to take something away from a place, group, or set.",professional and academic; often useful in careful speech and writing,IPA (stress shown separately): /əkʌmpəni/ Stress syllable 2 of 4.,general academic and professional,B2,v0006-s1
v0007,accumulation,,academic/professional word,AWL-derived core,collection or process of collecting,noun,accumulation of + noun,"Because repeated flooding deposited new layers of material, the accumulation of sediment gradually changed the shape of the riverbank.",accumulation of evidence; gradual accumulation,Check whether accumulation is countable in this meaning before adding “a” or a plural ending.,"accumulation means collection or process of collecting. By contrast, bottleneck means a point in a process that slows everything else down.",academic and professional; also useful in formal explanations,IPA (stress shown separately): /əkjumjəleɪʃən/ Stress syllable 4 of 5. Use a clear /ʃ/ “sh” sound. Keep the final /n/ audible.,STEM and technology,C1,v0007-s1
v0008,accurate,,academic/professional word,AWL-derived core,correct and without any mistakes,adjective,accurate + noun; be accurate,"Because small measurement errors could distort the final conclusion, the conclusion is only as accurate as the measurements supporting it.",accurate information; highly accurate,Use accurate before a noun or after a linking verb; do not use it as an adverb without the correct form.,"accurate means correct and without any mistakes. By contrast, precise means exact or careful and accurate.",professional and academic; often useful in careful speech and writing,IPA (stress shown separately): /ækjɚət/ Stress syllable 1 of 3. Keep the final /t/ audible.,general academic and professional,C1,v0008-s1
v0009,achieve,,academic/professional word,AWL-derived core,to succeed in reaching a target or aim,verb,achieve + noun,"Although the skill initially seemed difficult to several students, students can achieve the target by practicing the skill in several contexts.",achieve a goal; achieve results,Do not use achieve as a noun without changing its form; also check the required preposition or object.,"achieve means to succeed in reaching a target or aim. By contrast, attain means to achieve something after effort.",professional and academic; often useful in careful speech and writing,"IPA (stress shown separately): /ətʃiv/ Stress syllable 2 of 2. Use a crisp /tʃ/ “ch” sound. For /v/, touch the upper teeth to the lower lip; do not replace it with /b/. Keep the final /v/ audible.",general academic and professional,C1,v0009-s1
v0010,acknowledge,acknowledged,academic/professional word,AWL-derived core,to recognize or admit that something is true or important,verb,acknowledge + noun; acknowledge that + clause,"Although the results supported the main conclusion, the authors acknowledged the limitations of their study.",acknowledge a limitation; acknowledge that,This is an inflected verb form. Do not put “to” directly before it; use the base form after “to.”,"acknowledge means to recognize or admit that something is true or important. By contrast, demonstrate means to show or explain how something works.",professional and academic; often useful in careful speech and writing,"IPA (stress shown separately): /æknɑlɪdʒ/ Stress syllable 2 of 3. Use /dʒ/ “j,” as in job. Keep /ɪ/ short and relaxed, as in sit. Keep the final /dʒ/ audible.",communication,B2,v0010-s1
v0011,acquisition,,academic/professional word,AWL-derived core,the process of getting something,noun,acquisition of + noun,"Vocabulary acquisition requires repeated exposure and active use, so the team could interpret the evidence with less uncertainty.",language acquisition; acquisition of skills,Check whether acquisition is countable in this meaning before adding “a” or a plural ending.,"acquisition means the process of getting something. By contrast, disposal means the process of getting rid of something.",academic and professional; also useful in formal explanations,"IPA (stress shown separately): /ækwəzɪʃən/ Stress syllable 3 of 4. Use a clear /ʃ/ “sh” sound. For /w/, round the lips; do not touch the teeth. Keep /ɪ/ short and relaxed, as in sit. Keep the final /n/ audible.",STEM and technology,B2,v0011-s1
v0012,adaptation,,academic/professional word,AWL-derived core,modification to suit new conditions or environment,noun,adaptation to/of + noun,"The film is an adaptation of a well-known novel, which gave the people involved a clearer basis for the next step.",adaptation to change; an adaptation of,Check whether adaptation is countable in this meaning before adding “a” or a plural ending.,"adaptation means modification to suit new conditions or environment. By contrast, transformation means a complete change or the process of change.",professional and academic; often useful in careful speech and writing,IPA (stress shown separately): /ædəpteɪʃən/ Stress syllable 3 of 4. Use a clear /ʃ/ “sh” sound. Keep the final /n/ audible.,change and trends,C1,v0012-s1
v0013,adequate,,academic/professional word,AWL-derived core,enough or barely enough,adjective,adequate + noun; be adequate for + noun,"The evidence was adequate for a preliminary decision but not a final conclusion, so the team could interpret the evidence with less uncertainty.",adequate evidence; adequate for,Use adequate before a noun or after a linking verb; do not use it as an adverb without the correct form.,"adequate means enough or barely enough. By contrast, minimal means very small, the smallest possible, or barely enough.",professional and academic; often useful in careful speech and writing,"IPA (stress shown separately): /ædəkwət/ Stress syllable 1 of 3. For /w/, round the lips; do not touch the teeth. Keep the final /t/ audible.",general academic and professional,C1,v0013-s1
v0014,adjacent,,academic/professional word,AWL-derived core,"next to, near, or touching",adjective,adjacent + noun; be adjacent to + noun,"The science laboratory is adjacent to the preparation room, so the team could interpret the evidence with less uncertainty.",adjacent room; adjacent to,Use adjacent before a noun or after a linking verb; do not use it as an adverb without the correct form.,"adjacent means next to, near, or touching. By contrast, final means last.",professional and academic; often useful in careful speech and writing,"IPA (stress shown separately): /ədʒeɪsənt/ Stress syllable 2 of 3. Use /dʒ/ “j,” as in job. Keep the final /t/ audible.",general academic and professional,C1,v0014-s1
v0015,adjustment,,academic/professional word,AWL-derived core,"making small changes, or becoming suitable",noun,adjustment to + noun,"A small adjustment to the schedule solved the conflict, which helped the manager assign the next responsibility accurately.",make an adjustment; adjustment to,Check whether adjustment is countable in this meaning before adding “a” or a plural ending.,"adjustment means making small changes, or becoming suitable. By contrast, transition means a process or period in which something changes.",professional and academic; often useful in careful speech and writing,"IPA (stress shown separately): /ədʒʌstmənt/ Stress syllable 2 of 3. Use /dʒ/ “j,” as in job. Keep the final /t/ audible.",change and trends,B2,v0015-s1
